SampleSite_ID,PATCHSIZE
194,693000
197,74568600
165,74568600
193,283277700
161,144000
193,283277700
162,3600
141,93600
163,7176600
229,45900
227,348300
231,283277700
234,283277700
284,989100
1807,283277700
235,540900
232,283277700
276,283277700
282,18748800
281,283277700
318,453600
331,18748800
329,2208600
324,283277700
319,283277700
320,27000
270,163800
330,18748800
279,283277700
327,510300
366,1029600
375,11700
1111,30600
371,1800
369,283277700
361,103500
315,283277700
360,21600
367,283277700
419,99000
421,18748800
423,18748800
370,3401100
425,18748800
424,18748800
417,283277700
413,283277700
420,679500
464,283277700
502,50400
467,623700
506,283277700
503,55800
536,8099.999999
460,27900
545,656100
505,283277700
499,283277700
466,623700
620,283277700
618,283277700
541,283277700
538,283277700
581,283277700
574,245700
535,283277700
577,414900
540,283277700
585,503100
666,322200
718,2634300
711,283277700
659,283277700
662,283277700
669,41004000
653,28800
719,6480900
657,283277700
661,283277700
761,11700
808,283277700
815,723600
806,1305900
717,1800
707,283277700
758,129600
708,791100
810,283277700
766,2634300
859,283277700
949,109948500
939,283277700
865,159300
903,283277700
900,93600
857,283277700
860,283277700
907,1400400
812,283277700
1053,180000
1045,8235900
1022,2276100
1075,8235900
1050,109948500
1052,9000
1049,109948500
1024,15300
981,283277700
988,109948500
1142,1495800
1109,3959100
1111,109948500
1080,27900
1110,8235900
1114,109948500
1145,425700
1113,109948500
1115,109948500
1144,109948500
1180,109948500
1220,1265400
1139,19800
1185,109948500
1222,8999.999999
1225,15300
1148,109948500
1182,109948500
1186,109948500
1221,586800
1219,948600
1261,22500
1264,109948500
1214,36900
1258,7474500
1297,2970900
1253,283277700
1257,7474500
1298,2970900
1259,7474500
1398,884700
1294,1668600
1364,283277700
1299,45900
1295,171000
1341,115200
1335,46800
1367,149400
1340,1800
1333,927900
1400,4216500
1413,2232000
1423,81900
1425,2232000
1401,109948500
1421,875700
847,3907800
1235,7316100
159,124200
1273,4167900
358,669600
899,24045300
1320,32155200
933,24045300
454,1931400
1069,24045300
846,212804100
851,24045300
1200,212804100
1276,24300
893,212804100
1319,3600
894,212804100
1356,32155200
1012,24045300
1160,212804100
408,44100
1272,4167900
845,212804100
1322,32155200
1321,32155200
844,900.0000002
892,212804100
158,14497200
407,432000
895,212804100
974,109800
801,24045300
852,24045300
1068,216000
1099,32485500
1209,1276200
1207,97200
1247,899.9999999
1362,117900
1538,3889800
1584,1340100
1573,510300
1478,288000
1578,5319000
1507,234000
1560,18712800
1594,18712800
1581,697500
1606,1887300
1571,900.0000002
1540,274500
1579,5319000
1601,4500
1609,11516400
1554,5507100
1623,1677600
1567,5507100
1591,1393200
814,5507100
1596,11516400
1645,2155500
1605,18712800
1577,5319000
1592,4500
1640,418500
1587,11516400
1620,678600
1627,5928300
1657,3759300
1604,1393200
1583,5507100
1617,5928300
1644,683100
1598,221400
1658,3759300
1619,217800
1607,11516400
1628,153000
1608,11516400
1624,162900
1662,2519100
1539,18712800
1487,1391400
1630,2155500
1559,5319000
1643,9000
1526,18712800
1558,5319000
1569,5319000
1535,57600
1482,1391400
1508,4393800
1580,11516400
1557,1295100
1476,7485300
1485,40256100
1481,7485300
1479,7485300
1505,40256100
1498,40256100
1510,40256100
1522,1854900
1518,1843200
1527,40256100
1529,40256100
1544,5400
1542,40256100
1552,765000
1562,1800
1430,15513300
1438,1798200
1440,240300
1450,15513300
1460,16200
1461,15513300
1460,137700
1461,15513300
1467,15513300
1467,15513300
1564,47700
1653,7200
13,622800
13,622800
20,27900
1511,533700
1798,8905500
1845,32092200
1625,72000
1770,2814300
1707,43558200
1979,27312300
1665,319500
1589,130500
1501,43558200
1772,2924100
1876,104400
1793,2218500
1705,43558200
2163,27312300
1634,400500
1666,5400
1500,900.0000002
2111,11558700
1484,9711900
2253,3642300
1825,18432900
1503,91800
1982,27312300
1791,18432900
1708,1800
2115,6648300
1663,900.0000002
1760,900.0000002
2200,27312300
2318,4636800
1796,2700
1531,18432900
1936,53100
1836,4368600
1685,43558200
2107,32092200
2251,1400400
2035,27312300
1816,504900
1754,9711900
2311,26100
1504,2924100
2380,80100
1795,199800
1942,2755800
2205,592200
1502,2814300
1916,320400
2334,20713500
1831,26677800
2647,7200
2041,1595700
2159,91800
1759,162900
1835,8905500
2043,900.0000002
2379,4500
1192,900.0000001
1514,9711900
2158,20713500
1889,11398500
2208,20713500
2034,27312300
2210,22500
2195,200700
1931,7759800
1805,389700
2626,6905700
2378,8755200
2213,11558700
2042,2367900
2155,249300
2271,20713500
1840,3600
1153,6905700
2212,32092200
2113,11558700
1635,356400
1662,62100
2523,1321200
2269,20713500
1981,102600
1686,43558200
2272,182700
1637,32284800
1631,1161900
2414,25200
2211,32092200
2108,18000
1679,63900
2662,868500
2202,18000
2317,80100
1627,1679400
1724,335700
1640,1404900
2412,4423500
1648,43558200
2460,18900
1678,6300
1738,32092200
2312,261900
1612,55800
2664,6300
1723,203400
2336,4423500
1651,969300
1674,32284800
2646,6006600
1792,182700
1706,43558200
1615,95400
1761,43558200
1649,43558200
1602,135900
2644,900.0000001
1675,32284800
1794,9900
1833,7759800
1701,899.9999998
1739,113400
1590,477000
1672,32284800
1771,91800
1757,19800
1844,296100
1789,18432900
1702,4500
1647,43558200
