"","SampleSite_ID","Distance"
"1",13,"1.8"
"2",13,"1.8"
"3",20,"14.1"
"4",141,"4"
"5",158,"4"
"6",159,"4"
"7",161,"4"
"8",162,"4"
"9",163,"82.6"
"10",165,"4"
"11",193,"753.2"
"12",193,"757.4"
"13",194,"4"
"14",197,"9.637"
"15",227,"4"
"16",229,"4.8"
"17",231,"12.9"
"18",232,"31.7"
"19",234,"46.5"
"20",235,"245.8"
"21",270,"4"
"22",276,"15"
"23",279,"101.6"
"24",281,"184.9"
"25",282,"17.8"
"26",284,"5.7"
"27",315,"31.4"
"28",319,"52.1"
"29",320,"83.9"
"30",324,"12.7"
"31",327,"4"
"32",330,""
"33",331,"8.1"
"34",360,"18.5"
"35",361,"3.8"
"36",366,"4"
"37",367,"44.1"
"38",369,"52"
"39",370,"4"
"40",371,"3.2"
"41",375,"4"
"42",407,"4"
"43",408,"4"
"44",413,"192.1"
"45",417,"51.9"
"46",419,"106.7"
"47",420,"4"
"48",421,"75.7"
"49",423,"8"
"50",424,"28.9"
"51",425,"21.2"
"52",454,"23.7"
"53",456,"4"
"54",460,"76.2"
"55",464,"38.4"
"56",466,"14.8"
"57",467,"7.9"
"58",496,"6.6"
"59",499,"4"
"60",502,"55"
"61",503,"130.6"
"62",505,"10.3"
"63",506,"17.2"
"64",535,"23"
"65",536,"6.2"
"66",538,"14.4"
"67",540,"93.4"
"68",541,"78"
"69",545,"35.8"
"70",574,"4"
"71",577,"4"
"72",581,"35.2"
"73",585,"30.2"
"74",618,"4"
"75",620,"4"
"76",653,"4"
"77",657,"8.4"
"78",659,"40.7"
"79",661,"4"
"80",662,"4"
"81",666,"5.3"
"82",669,"4"
"83",707,"15.9"
"84",708,"66.7"
"85",711,"18.1"
"86",717,"4.7"
"87",718,"19.8"
"88",719,"53.5"
"89",758,"44.4"
"90",761,"25.5"
"91",766,"10.7"
"92",801,"4"
"93",806,"8.1"
"94",808,"8.7"
"95",810,"4"
"96",812,"4.6"
"97",814,"4"
"98",815,"4"
"99",844,"74.1"
"100",845,"399.7"
"101",846,"64"
"102",847,"4"
"103",851,"4"
"104",852,"36.2"
"105",857,"32.5"
"106",859,"17.6"
"107",860,"18.8"
"108",865,"89.2"
"109",892,"698.3"
"110",893,"585.3"
"111",894,"89.1"
"112",895,"4"
"113",899,"278.4"
"114",900,"4"
"115",903,"21"
"116",907,"89.9"
"117",933,"10.7"
"118",939,"95.2"
"119",949,"15.3"
"120",974,"8.4"
"121",981,"7.6"
"122",988,"12.4"
"123",1012,"495.9"
"124",1022,"716.9"
"125",1024,"91.2"
"126",1045,"4"
"127",1049,"19.4"
"128",1050,"58.1"
"129",1052,"4"
"130",1053,"4"
"131",1068,"127.8"
"132",1069,"289"
"133",1075,"4"
"134",1080,"560"
"135",1099,"11.4"
"136",1108,"4"
"137",1109,"27.1"
"138",1110,"4"
"139",1111,"1032"
"140",1111,"4.3"
"141",1113,"52.5"
"142",1114,"29.7"
"143",1115,"25.3"
"144",1139,"6.5"
"145",1142,"4"
"146",1144,"59.8"
"147",1145,"182.6"
"148",1148,"42.3"
"149",1153,"522.8"
"150",1160,"27.6"
"151",1180,"10.2"
"152",1182,"21.8"
"153",1185,"210.4"
"154",1186,"210.2"
"155",1192,"48.8"
"156",1200,"79.6"
"157",1207,"4"
"158",1209,"4"
"159",1214,"4"
"160",1219,"4"
"161",1220,"4"
"162",1221,"104.4"
"163",1222,"4.7"
"164",1225,"4"
"165",1235,"4"
"166",1247,"13.3"
"167",1253,"4"
"168",1257,"4.6"
"169",1258,"4"
"170",1259,"5.2"
"171",1261,"4"
"172",1264,"135.3"
"173",1272,"128.4"
"174",1273,"40.9"
"175",1276,"4"
"176",1294,"13.7"
"177",1295,"4"
"178",1297,"4"
"179",1298,"290.8"
"180",1299,"4"
"181",1319,"4"
"182",1320,"6.1"
"183",1321,"4"
"184",1322,"6"
"185",1333,"20.3"
"186",1335,"11.9"
"187",1340,"29.5"
"188",1341,"4"
"189",1356,"4"
"190",1362,"1.9"
"191",1364,"4"
"192",1367,"14"
"193",1398,"4"
"194",1400,"327.6"
"195",1401,"74.8"
"196",1413,"4"
"197",1421,"9.3"
"198",1422,"10.9"
"199",1425,"7.1"
"200",1430,"4"
"201",1438,"7.4"
"202",1440,"13.5"
"203",1450,"30.3"
"204",1460,"9.7"
"205",1460,"5.7"
"206",1461,"16.7"
"207",1461,"29.4"
"208",1467,"4"
"209",1467,"7.9"
"210",1476,"567"
"211",1478,"95.5"
"212",1479,"78"
"213",1481,"16.7"
"214",1484,"663.6"
"215",1485,"4"
"216",1487,"222.7"
"217",1498,"304"
"218",1500,"7.3"
"219",1501,"219.4"
"220",1502,"17.6"
"221",1503,"10"
"222",1504,"34.7"
"223",1505,"160"
"224",1507,"24.2"
"225",1508,"86.8"
"226",1510,"895.2"
"227",1511,""
"228",1514,"39.4"
"229",1518,"5.6"
"230",1522,"4"
"231",1526,"4"
"232",1527,"984.8"
"233",1529,"521.4"
"234",1531,"9.5"
"235",1535,"37.7"
"236",1538,"25.9"
"237",1539,"50.4"
"238",1540,"6.6"
"239",1542,"16.5"
"240",1544,"15.7"
"241",1552,"4"
"242",1554,"42.9"
"243",1557,"4"
"244",1558,"387.8"
"245",1559,"373.9"
"246",1560,"6.1"
"247",1562,"66.2"
"248",1564,"61.47"
"249",1567,"6.9"
"250",1569,"476"
"251",1571,"442.7"
"252",1573,"4"
"253",1577,"12.3"
"254",1578,"640"
"255",1579,"75.8"
"256",1580,"4"
"257",1581,"130.4"
"258",1583,"2.5"
"259",1584,"32.6"
"260",1587,"4"
"261",1589,"4"
"262",1590,"26.9"
"263",1591,"69.9"
"264",1592,"4"
"265",1594,"4"
"266",1596,"4"
"267",1598,"4"
"268",1601,"12.6"
"269",1602,"78.2"
"270",1604,"59.2"
"271",1605,"4"
"272",1606,"54.2"
"273",1607,"4"
"274",1608,"4"
"275",1609,"4"
"276",1612,"160.2"
"277",1615,"84.9"
"278",1617,"16.6"
"279",1619,"136.8"
"280",1620,"328.7"
"281",1624,"115.1"
"282",1625,"118.2"
"283",1627,"7.6"
"284",1628,"4"
"285",1630,"4.9"
"286",1631,"11.6"
"287",1634,"47.2"
"288",1635,"35.7"
"289",1637,"271.5"
"290",1640,"136.6"
"291",1643,"2.9"
"292",1644,"2.9"
"293",1645,"4.9"
"294",1647,"142.4"
"295",1648,"267"
"296",1649,"20.1"
"297",1651,"10.7"
"298",1653,"110"
"299",1657,"74.7"
"300",1658,"4"
"301",1662,"11.6"
"302",1663,"4"
"303",1665,"38.5"
"304",1666,"93.3"
"305",1672,"11.8"
"306",1674,"40.1"
"307",1675,"10.1"
"308",1678,"230.9"
"309",1679,"7.9"
"310",1685,"693"
"311",1686,"231"
"312",1702,"220.1"
"313",1705,"915.3"
"314",1706,"1357"
"315",1707,"411.7"
"316",1708,"127.7"
"317",1723,"54.6"
"318",1738,"4.9"
"319",1739,"7.4"
"320",1754,"253.3"
"321",1757,"150.7"
"322",1759,"4.9"
"323",1760,"16.2"
"324",1761,"226.5"
"325",1770,"17.1"
"326",1771,"7"
"327",1772,"34.6"
"328",1789,"4.1"
"329",1791,"4.7"
"330",1792,"37.3"
"331",1793,"20.9"
"332",1794,"123"
"333",1795,"4"
"334",1798,"83.8"
"335",1805,"13.9"
"336",1807,"753"
"337",1816,"15.8"
"338",1825,"4.8"
"339",1833,"32.1"
"340",1835,"93.5"
"341",1844,"13.6"
"342",1845,"128.7"
"343",1876,"18.1"
"344",1889,"161"
"345",1916,"4"
"346",1931,"99.6"
"347",1979,"174.3"
"348",1981,"32.3"
"349",1982,"14.9"
"350",2034,"27.6"
"351",2035,"252"
"352",2041,"325.9"
"353",2107,"22.5"
"354",2108,"45"
"355",2111,"47.6"
"356",2113,"4"
"357",2155,"9.7"
"358",2158,"4.2"
"359",2159,"18.8"
"360",2163,"175.9"
"361",2195,"106.5"
"362",2200,"18.9"
"363",2202,"64.7"
"364",2205,"4"
"365",2210,"12.4"
"366",2211,"55.6"
"367",2212,"93.9"
"368",2251,"4"
"369",2253,"3.7"
"370",2272,"21.8"
"371",2311,"4"
"372",2312,"4"
"373",2317,"23.7"
"374",2318,"5.3"
"375",2336,"144.4"
"376",2378,"117.5"
"377",2379,"106.3"
"378",2380,"4"
"379",2412,"163.9"
"380",2414,"13.3"
"381",2460,"88.9"
"382",2523,"119.8"
"383",2626,"522.8"
"384",2644,"48.8"
"385",2647,"426.2"
"386",2662,"146.7"
"387",2664,"914.3"
"388",NA,""
